#,Word,Oxford 3000,Oxford 5000,Level,Part Of Speech,Pron UK,Pron US,Site URL
1,a,1,1,a1,indefinite article,ə,ə,https://www.oxfordlearnersdictionaries.com/definition/english/a_1
2,abandon,1,1,b2,verb,əˈbændən,əˈbændən,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1
